profile,elem_type,algo,size,runs,time_s,display
Reverse_Sorted,int,Bubble,100000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Bubble,1000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Bubble,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Selection,50,20000,0.000033337,33.34 μs
Reverse_Sorted,int,Selection,100,10000,0.000124500,124.50 μs
Reverse_Sorted,int,Selection,1000,100,0.013559149,13.56 ms
Reverse_Sorted,int,Selection,10000,10,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Selection,100000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Selection,1000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Selection,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Insertion,50,20000,0.000059514,59.51 μs
Reverse_Sorted,int,Insertion,100,10000,0.000241058,241.06 μs
Reverse_Sorted,int,Insertion,1000,100,0.024632634,24.63 ms
Reverse_Sorted,int,Insertion,10000,10,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Insertion,100000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Insertion,1000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Insertion,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Merge,50,20000,0.000031617,31.62 μs
Reverse_Sorted,int,Merge,100,10000,0.000068349,68.35 μs
Reverse_Sorted,int,Merge,1000,100,0.000810346,810.35 μs
Reverse_Sorted,int,Merge,10000,10,0.009731588,9.73 ms
Reverse_Sorted,int,Merge,100000,1,0.110815625,110.82 ms
Reverse_Sorted,int,Merge,1000000,1,1.227138167,1.227 s
Reverse_Sorted,int,Merge,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Quick,50,20000,0.000027576,27.58 μs
Reverse_Sorted,int,Quick,100,10000,0.000061013,61.01 μs
Reverse_Sorted,int,Quick,1000,100,0.000741163,741.16 μs
Reverse_Sorted,int,Quick,10000,10,0.009955254,9.96 ms
Reverse_Sorted,int,Quick,100000,1,0.120675084,120.68 ms
Reverse_Sorted,int,Quick,1000000,1,1.349986708,1.350 s
Reverse_Sorted,int,Quick,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Heap,50,20000,0.000029006,29.01 μs
Reverse_Sorted,int,Heap,100,10000,0.000069000,69.00 μs
Reverse_Sorted,int,Heap,1000,100,0.001129060,1.13 ms
Reverse_Sorted,int,Heap,10000,10,0.015942179,15.94 ms
Reverse_Sorted,int,Heap,100000,1,0.203271375,203.27 ms
Reverse_Sorted,int,Heap,1000000,1,2.505004208,2.505 s
Reverse_Sorted,int,Heap,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,Counting,50,20000,0.000007227,7.23 μs
Reverse_Sorted,int,Counting,100,10000,0.000014476,14.48 μs
Reverse_Sorted,int,Counting,1000,100,0.000149181,149.18 μs
Reverse_Sorted,int,Counting,10000,10,0.001487725,1.49 ms
Reverse_Sorted,int,Counting,100000,1,0.015441167,15.44 ms
Reverse_Sorted,int,Counting,1000000,1,0.159327167,159.33 ms
Reverse_Sorted,int,Counting,10000000,1,0.250157875,250.16 ms
Reverse_Sorted,int,LinkedListMerge,50,20000,0.000026818,26.82 μs
Reverse_Sorted,int,LinkedListMerge,100,10000,0.000057656,57.66 μs
Reverse_Sorted,int,LinkedListMerge,1000,100,0.000716950,716.95 μs
Reverse_Sorted,int,LinkedListMerge,10000,10,0.008870196,8.87 ms
Reverse_Sorted,int,LinkedListMerge,100000,1,0.106948000,106.95 ms
Reverse_Sorted,int,LinkedListMerge,1000000,1,1.230754875,1.231 s
Reverse_Sorted,int,LinkedListMerge,10000000,1,TIMEOUT,TIMEOUT
Reverse_Sorted,int,TimSort,50,20000,0.000000388,388.45 ns
Reverse_Sorted,int,TimSort,100,10000,0.000000713,712.86 ns
Reverse_Sorted,int,TimSort,1000,100,0.000004822,4.82 μs
Reverse_Sorted,int,TimSort,10000,10,0.000057183,57.18 μs
Reverse_Sorted,int,TimSort,100000,1,0.000711042,711.04 μs
Reverse_Sorted,int,TimSort,1000000,1,0.013420708,13.42 ms
Reverse_Sorted,int,TimSort,10000000,1,0.093694916,93.69 ms
Almost_Sorted,int,Bubble,50,20000,0.000021698,21.70 μs
Almost_Sorted,int,Bubble,100,10000,0.000105179,105.18 μs
Almost_Sorted,int,Bubble,1000,100,0.016712560,16.71 ms
Almost_Sorted,int,Bubble,10000,10,TIMEOUT,TIMEOUT
Almost_Sorted,int,Bubble,100000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Bubble,1000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Bubble,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Selection,50,20000,0.000032521,32.52 μs
Almost_Sorted,int,Selection,100,10000,0.000121436,121.44 μs
Almost_Sorted,int,Selection,1000,100,0.012713033,12.71 ms
Almost_Sorted,int,Selection,10000,10,TIMEOUT,TIMEOUT
Almost_Sorted,int,Selection,100000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Selection,1000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Selection,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Insertion,50,20000,0.000004148,4.15 μs
Almost_Sorted,int,Insertion,100,10000,0.000011059,11.06 μs
Almost_Sorted,int,Insertion,1000,100,0.000690536,690.54 μs
Almost_Sorted,int,Insertion,10000,10,0.065149666,65.15 ms
Almost_Sorted,int,Insertion,100000,1,6.564332208,6.564 s
Almost_Sorted,int,Insertion,1000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Insertion,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Merge,50,20000,0.000030688,30.69 μs
Almost_Sorted,int,Merge,100,10000,0.000067329,67.33 μs
Almost_Sorted,int,Merge,1000,100,0.000932345,932.34 μs
Almost_Sorted,int,Merge,10000,10,0.011862488,11.86 ms
Almost_Sorted,int,Merge,100000,1,0.143562208,143.56 ms
Almost_Sorted,int,Merge,1000000,1,1.704028833,1.704 s
Almost_Sorted,int,Merge,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Quick,50,20000,0.000028059,28.06 μs
Almost_Sorted,int,Quick,100,10000,0.000061929,61.93 μs
Almost_Sorted,int,Quick,1000,100,0.000845581,845.58 μs
Almost_Sorted,int,Quick,10000,10,0.010456375,10.46 ms
Almost_Sorted,int,Quick,100000,1,0.125481708,125.48 ms
Almost_Sorted,int,Quick,1000000,1,1.486950583,1.487 s
Almost_Sorted,int,Quick,10000000,1,TIMEOUT,TIMEOUT
Almost_Sorted,int,Heap,50,20000,0.000035470,35.47 μs
